,NA corrected,Label,Sample Name,formula,name
7,0.0,C13_196.0_70.0,Q. [13C-glc] G7 0min,C4H3O,Citrate 196/70
8,0.0,C13_196.0_70.0,Q. [13C-glc] G7 0min,C4H3O,Citrate 196/70
9,0.0,C13_196.0_70.0,Q. [13C-glc] G7 0min,C4H3O,Citrate 196/70
10,0.0,C13_196.0_70.0,Q. [13C-glc] G7 0min,C4H3O,Citrate 196/70
11,0.0,C13_196.0_70.0,Q. [13C-glc] G7 0min,C4H3O,Citrate 196/70
0,82651.9414785,C13_195.0_70.0,T. [13C-glc] G7 30min,C4H3O,Citrate 195/70
1,60430.911127,C13_195.0_70.0,T. [13C-glc] G7 30min,C4H3O,Citrate 195/70
2,25146.6445781,C13_195.0_70.0,T. [13C-glc] G7 30min,C4H3O,Citrate 195/70
3,72281.5230398,C13_195.0_70.0,T. [13C-glc] G7 30min,C4H3O,Citrate 195/70
4,72215.1759275,C13_195.0_70.0,T. [13C-glc] G7 30min,C4H3O,Citrate 195/70
5,88178.9909064,C13_195.0_70.0,T. [13C-glc] G7 30min,C4H3O,Citrate 195/70
6,0.0,C13_195.0_70.0,Q. [13C-glc] G7 0min,C4H3O,Citrate 195/70
7,0.0,C13_195.0_70.0,Q. [13C-glc] G7 0min,C4H3O,Citrate 195/70
8,0.0,C13_195.0_70.0,Q. [13C-glc] G7 0min,C4H3O,Citrate 195/70
9,0.0,C13_195.0_70.0,Q. [13C-glc] G7 0min,C4H3O,Citrate 195/70
10,0.0,C13_195.0_70.0,Q. [13C-glc] G7 0min,C4H3O,Citrate 195/70
11,0.0,C13_195.0_70.0,Q. [13C-glc] G7 0min,C4H3O,Citrate 195/70
0,14154.9988591,C13_192.0_67.0,T. [13C-glc] G7 30min,C4H3O,Citrate 192/67
1,12691.7560591,C13_192.0_67.0,T. [13C-glc] G7 30min,C4H3O,Citrate 192/67
2,0.0,C13_192.0_67.0,T. [13C-glc] G7 30min,C4H3O,Citrate 192/67
3,12159.6562591,C13_192.0_67.0,T. [13C-glc] G7 30min,C4H3O,Citrate 192/67
4,10031.4258591,C13_192.0_67.0,T. [13C-glc] G7 30min,C4H3O,Citrate 192/67
5,15684.6433591,C13_192.0_67.0,T. [13C-glc] G7 30min,C4H3O,Citrate 192/67
6,24929.2378009,C13_192.0_67.0,Q. [13C-glc] G7 0min,C4H3O,Citrate 192/67
7,26192.8020591,C13_192.0_67.0,Q. [13C-glc] G7 0min,C4H3O,Citrate 192/67
8,28388.2967588,C13_192.0_67.0,Q. [13C-glc] G7 0min,C4H3O,Citrate 192/67
9,24995.5669591,C13_192.0_67.0,Q. [13C-glc] G7 0min,C4H3O,Citrate 192/67
10,24729.6647591,C13_192.0_67.0,Q. [13C-glc] G7 0min,C4H3O,Citrate 192/67
11,26684.723007,C13_192.0_67.0,Q. [13C-glc] G7 0min,C4H3O,Citrate 192/67
0,414497.411998,C13_193.0_68.0,T. [13C-glc] G7 30min,C4H3O,Citrate 193/68
1,363264.831345,C13_193.0_68.0,T. [13C-glc] G7 30min,C4H3O,Citrate 193/68
2,174612.19846,C13_193.0_68.0,T. [13C-glc] G7 30min,C4H3O,Citrate 193/68
3,357797.148516,C13_193.0_68.0,T. [13C-glc] G7 30min,C4H3O,Citrate 193/68
4,352679.793476,C13_193.0_68.0,T. [13C-glc] G7 30min,C4H3O,Citrate 193/68
5,450015.726236,C13_193.0_68.0,T. [13C-glc] G7 30min,C4H3O,Citrate 193/68
6,55622.630452,C13_193.0_68.0,Q. [13C-glc] G7 0min,C4H3O,Citrate 193/68
7,54398.055598,C13_193.0_68.0,Q. [13C-glc] G7 0min,C4H3O,Citrate 193/68
8,53867.1881968,C13_193.0_68.0,Q. [13C-glc] G7 0min,C4H3O,Citrate 193/68
9,54429.7605562,C13_193.0_68.0,Q. [13C-glc] G7 0min,C4H3O,Citrate 193/68
10,54505.0880762,C13_193.0_68.0,Q. [13C-glc] G7 0min,C4H3O,Citrate 193/68
11,54893.2615819,C13_193.0_68.0,Q. [13C-glc] G7 0min,C4H3O,Citrate 193/68
0,57680.4648581,C13_194.0_68.0,T. [13C-glc] G7 30min,C4H3O,Citrate 194/68
1,56547.3410248,C13_194.0_68.0,T. [13C-glc] G7 30min,C4H3O,Citrate 194/68
2,55590.9913939,C13_194.0_68.0,T. [13C-glc] G7 30min,C4H3O,Citrate 194/68
3,56839.5515139,C13_194.0_68.0,T. [13C-glc] G7 30min,C4H3O,Citrate 194/68
4,57481.8032539,C13_194.0_68.0,T. [13C-glc] G7 30min,C4H3O,Citrate 194/68
5,58891.6930977,C13_194.0_68.0,T. [13C-glc] G7 30min,C4H3O,Citrate 194/68
6,55858.6349185,C13_194.0_68.0,Q. [13C-glc] G7 0min,C4H3O,Citrate 194/68
7,55245.6841462,C13_194.0_68.0,Q. [13C-glc] G7 0min,C4H3O,Citrate 194/68
8,55000.643199,C13_194.0_68.0,Q. [13C-glc] G7 0min,C4H3O,Citrate 194/68
9,54557.8949539,C13_194.0_68.0,Q. [13C-glc] G7 0min,C4H3O,Citrate 194/68
10,55181.5003069,C13_194.0_68.0,Q. [13C-glc] G7 0min,C4H3O,Citrate 194/68
11,54224.6655139,C13_194.0_68.0,Q. [13C-glc] G7 0min,C4H3O,Citrate 194/68
0,26706.4010576,C13_195.0_69.0,T. [13C-glc] G7 30min,C4H3O,Citrate 195/69
1,21745.3822762,C13_195.0_69.0,T. [13C-glc] G7 30min,C4H3O,Citrate 195/69
2,6717.71672587,C13_195.0_69.0,T. [13C-glc] G7 30min,C4H3O,Citrate 195/69
3,29612.5352459,C13_195.0_69.0,T. [13C-glc] G7 30min,C4H3O,Citrate 195/69
4,25316.9094939,C13_195.0_69.0,T. [13C-glc] G7 30min,C4H3O,Citrate 195/69
5,32123.785799,C13_195.0_69.0,T. [13C-glc] G7 30min,C4H3O,Citrate 195/69
6,0.0,C13_195.0_69.0,Q. [13C-glc] G7 0min,C4H3O,Citrate 195/69
7,0.0,C13_195.0_69.0,Q. [13C-glc] G7 0min,C4H3O,Citrate 195/69
8,0.0,C13_195.0_69.0,Q. [13C-glc] G7 0min,C4H3O,Citrate 195/69
9,0.0,C13_195.0_69.0,Q. [13C-glc] G7 0min,C4H3O,Citrate 195/69
10,0.0,C13_195.0_69.0,Q. [13C-glc] G7 0min,C4H3O,Citrate 195/69
11,0.0,C13_195.0_69.0,Q. [13C-glc] G7 0min,C4H3O,Citrate 195/69
0,10681.5786641,C13_194.0_70.0,T. [13C-glc] G7 30min,C4H3O,Citrate 194/70
1,9517.49328412,C13_194.0_70.0,T. [13C-glc] G7 30min,C4H3O,Citrate 194/70
2,2926.04162412,C13_194.0_70.0,T. [13C-glc] G7 30min,C4H3O,Citrate 194/70
3,10840.8194641,C13_194.0_70.0,T. [13C-glc] G7 30min,C4H3O,Citrate 194/70
4,9025.70926412,C13_194.0_70.0,T. [13C-glc] G7 30min,C4H3O,Citrate 194/70
5,12968.3871603,C13_194.0_70.0,T. [13C-glc] G7 30min,C4H3O,Citrate 194/70
6,0.0,C13_194.0_70.0,Q. [13C-glc] G7 0min,C4H3O,Citrate 194/70
7,0.0,C13_194.0_70.0,Q. [13C-glc] G7 0min,C4H3O,Citrate 194/70
8,0.0,C13_194.0_70.0,Q. [13C-glc] G7 0min,C4H3O,Citrate 194/70
9,0.0,C13_194.0_70.0,Q. [13C-glc] G7 0min,C4H3O,Citrate 194/70
10,0.0,C13_194.0_70.0,Q. [13C-glc] G7 0min,C4H3O,Citrate 194/70
11,0.0,C13_194.0_70.0,Q. [13C-glc] G7 0min,C4H3O,Citrate 194/70
0,43515.0018804,C13_192.0_68.0,T. [13C-glc] G7 30min,C4H3O,Citrate 192/68
1,39975.8074435,C13_192.0_68.0,T. [13C-glc] G7 30min,C4H3O,Citrate 192/68
