,col_name,Label,Sample Name,formula,name
11,0.0,C13_90.0_90.0,Q. [13C-glc] G7 0min,C3H3O3,Pyruvate 90/90
0,0.0,C13_88.0_88.0,T. [13C-glc] G7 30min,C3H3O3,Pyruvate 88/88
1,2513.0013267,C13_88.0_88.0,T. [13C-glc] G7 30min,C3H3O3,Pyruvate 88/88
2,0.0,C13_88.0_88.0,T. [13C-glc] G7 30min,C3H3O3,Pyruvate 88/88
3,1804.1758827,C13_88.0_88.0,T. [13C-glc] G7 30min,C3H3O3,Pyruvate 88/88
4,50.8432847,C13_88.0_88.0,T. [13C-glc] G7 30min,C3H3O3,Pyruvate 88/88
5,0.0,C13_88.0_88.0,T. [13C-glc] G7 30min,C3H3O3,Pyruvate 88/88
6,4732.8211267,C13_88.0_88.0,Q. [13C-glc] G7 0min,C3H3O3,Pyruvate 88/88
7,4008.1065777,C13_88.0_88.0,Q. [13C-glc] G7 0min,C3H3O3,Pyruvate 88/88
8,245.4932847,C13_88.0_88.0,Q. [13C-glc] G7 0min,C3H3O3,Pyruvate 88/88
9,5931.4057847,C13_88.0_88.0,Q. [13C-glc] G7 0min,C3H3O3,Pyruvate 88/88
10,6915.6150327,C13_88.0_88.0,Q. [13C-glc] G7 0min,C3H3O3,Pyruvate 88/88
11,4997.8098247,C13_88.0_88.0,Q. [13C-glc] G7 0min,C3H3O3,Pyruvate 88/88
0,3865.60677711,C13_195.0_71.0,T. [13C-glc] G7 30min,C4H3O,Citrate 195/71
1,1875.65709411,C13_195.0_71.0,T. [13C-glc] G7 30min,C4H3O,Citrate 195/71
2,259.551636113,C13_195.0_71.0,T. [13C-glc] G7 30min,C4H3O,Citrate 195/71
3,2813.93979511,C13_195.0_71.0,T. [13C-glc] G7 30min,C4H3O,Citrate 195/71
4,1048.81979511,C13_195.0_71.0,T. [13C-glc] G7 30min,C4H3O,Citrate 195/71
5,4074.73979511,C13_195.0_71.0,T. [13C-glc] G7 30min,C4H3O,Citrate 195/71
6,0.0,C13_195.0_71.0,Q. [13C-glc] G7 0min,C4H3O,Citrate 195/71
7,0.0,C13_195.0_71.0,Q. [13C-glc] G7 0min,C4H3O,Citrate 195/71
8,0.0,C13_195.0_71.0,Q. [13C-glc] G7 0min,C4H3O,Citrate 195/71
9,0.0192901125101,C13_195.0_71.0,Q. [13C-glc] G7 0min,C4H3O,Citrate 195/71
10,0.0,C13_195.0_71.0,Q. [13C-glc] G7 0min,C4H3O,Citrate 195/71
11,0.0,C13_195.0_71.0,Q. [13C-glc] G7 0min,C4H3O,Citrate 195/71
0,56436.6375609,C13_194.0_69.0,T. [13C-glc] G7 30min,C4H3O,Citrate 194/69
1,46649.8608109,C13_194.0_69.0,T. [13C-glc] G7 30min,C4H3O,Citrate 194/69
2,18639.6498309,C13_194.0_69.0,T. [13C-glc] G7 30min,C4H3O,Citrate 194/69
3,48268.6898309,C13_194.0_69.0,T. [13C-glc] G7 30min,C4H3O,Citrate 194/69
4,46503.6298309,C13_194.0_69.0,T. [13C-glc] G7 30min,C4H3O,Citrate 194/69
5,57177.3215609,C13_194.0_69.0,T. [13C-glc] G7 30min,C4H3O,Citrate 194/69
6,168.92983092,C13_194.0_69.0,Q. [13C-glc] G7 0min,C4H3O,Citrate 194/69
7,168.92983092,C13_194.0_69.0,Q. [13C-glc] G7 0min,C4H3O,Citrate 194/69
8,358.04983092,C13_194.0_69.0,Q. [13C-glc] G7 0min,C4H3O,Citrate 194/69
9,729.10916352,C13_194.0_69.0,Q. [13C-glc] G7 0min,C4H3O,Citrate 194/69
10,1025.52895632,C13_194.0_69.0,Q. [13C-glc] G7 0min,C4H3O,Citrate 194/69
11,168.92983092,C13_194.0_69.0,Q. [13C-glc] G7 0min,C4H3O,Citrate 194/69
0,0.0,C13_193.0_67.0,T. [13C-glc] G7 30min,C4H3O,Citrate 193/67
1,0.0,C13_193.0_67.0,T. [13C-glc] G7 30min,C4H3O,Citrate 193/67
2,0.0,C13_193.0_67.0,T. [13C-glc] G7 30min,C4H3O,Citrate 193/67
3,0.0,C13_193.0_67.0,T. [13C-glc] G7 30min,C4H3O,Citrate 193/67
4,0.0,C13_193.0_67.0,T. [13C-glc] G7 30min,C4H3O,Citrate 193/67
5,0.0,C13_193.0_67.0,T. [13C-glc] G7 30min,C4H3O,Citrate 193/67
6,0.0,C13_193.0_67.0,Q. [13C-glc] G7 0min,C4H3O,Citrate 193/67
7,0.0,C13_193.0_67.0,Q. [13C-glc] G7 0min,C4H3O,Citrate 193/67
8,0.0,C13_193.0_67.0,Q. [13C-glc] G7 0min,C4H3O,Citrate 193/67
9,0.0,C13_193.0_67.0,Q. [13C-glc] G7 0min,C4H3O,Citrate 193/67
10,170.92149272,C13_193.0_67.0,Q. [13C-glc] G7 0min,C4H3O,Citrate 193/67
11,0.0,C13_193.0_67.0,Q. [13C-glc] G7 0min,C4H3O,Citrate 193/67
