,Intensity,Name,Glucose Concentration,Modified,Original Filename,Sample Name,Time,Formula,Parent,Parent_Formula,Label
6910,245186.7735,Malate 133/115,G9,False,TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 186),G. [13C-glc] G9 240min,240min,C4H3O4,Malate 133/115,C4H5O5,C13_133.0_115.0
6911,397063.192,Malate 133/115,G9,False,TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 187),"H. [6,6-DD-glc] G9 240min",240min,C4H3O4,Malate 133/115,C4H5O5,C13_133.0_115.0
7056,25674.2915,Malate 134/116,G9,False,TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 140),A. [13C-glc] G9 0min,0min,C4H3O4,Malate 133/115,C4H5O5,C13_134.0_116.0
7057,29783.3085,Malate 134/116,G9,False,TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 141),B. [13C-glc] G9 5min,5min,C4H3O4,Malate 133/115,C4H5O5,C13_134.0_116.0
7058,24008.234,Malate 134/116,G9,False,TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 142),C. [13C-glc] G9 15min,15min,C4H3O4,Malate 133/115,C4H5O5,C13_134.0_116.0
7059,31451.325,Malate 134/116,G9,False,TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 143),D. [13C-glc] G9 30min,30min,C4H3O4,Malate 133/115,C4H5O5,C13_134.0_116.0
7060,42107.242,Malate 134/116,G9,False,TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 144),E. [13C-glc] G9 60min,60min,C4H3O4,Malate 133/115,C4H5O5,C13_134.0_116.0
7061,53402.825,Malate 134/116,G9,False,TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 145),F. [13C-glc] G9 120min,120min,C4H3O4,Malate 133/115,C4H5O5,C13_134.0_116.0
7062,55454.641,Malate 134/116,G9,False,TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 146),G. [13C-glc] G9 240min,240min,C4H3O4,Malate 133/115,C4H5O5,C13_134.0_116.0
7063,68041.576,Malate 134/116,G9,False,TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 147),"H. [6,6-DD-glc] G9 240min",240min,C4H3O4,Malate 133/115,C4H5O5,C13_134.0_116.0
7064,36199.041,Malate 134/116,G9,False,TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 148),A. [13C-glc] G9 0min,0min,C4H3O4,Malate 133/115,C4H5O5,C13_134.0_116.0
7065,35690.317,Malate 134/116,G9,False,TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 149),B. [13C-glc] G9 5min,5min,C4H3O4,Malate 133/115,C4H5O5,C13_134.0_116.0
7066,26702.7085,Malate 134/116,G9,False,TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 150),C. [13C-glc] G9 15min,15min,C4H3O4,Malate 133/115,C4H5O5,C13_134.0_116.0
7067,43265.9595,Malate 134/116,G9,False,TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 151),D. [13C-glc] G9 30min,30min,C4H3O4,Malate 133/115,C4H5O5,C13_134.0_116.0
7068,53917.7665,Malate 134/116,G9,False,TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 152),E. [13C-glc] G9 60min,60min,C4H3O4,Malate 133/115,C4H5O5,C13_134.0_116.0
7069,47884.342,Malate 134/116,G9,False,TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 153),F. [13C-glc] G9 120min,120min,C4H3O4,Malate 133/115,C4H5O5,C13_134.0_116.0
7070,69643.6455,Malate 134/116,G9,False,TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 154),G. [13C-glc] G9 240min,240min,C4H3O4,Malate 133/115,C4H5O5,C13_134.0_116.0
7071,56866.3325,Malate 134/116,G9,False,TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 155),"H. [6,6-DD-glc] G9 240min",240min,C4H3O4,Malate 133/115,C4H5O5,C13_134.0_116.0
7072,29012.8085,Malate 134/116,G9,False,TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 156),A. [13C-glc] G9 0min,0min,C4H3O4,Malate 133/115,C4H5O5,C13_134.0_116.0
