,Intensity,Name,Modified,Original Filename,Sample Name,Some garbage,Formula,Parent,Parent_Formula,Label
103,12988754.0719,Citrate 191/111,True,"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 497)","X. [6,6-DD-glc] G7 240min",0,C5H3O3,Citrate 191/111,C6H7O7,C13_191.0_111.0
104,8352155.166,Citrate 191/111,False,"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 498)",A. [13C-glc] G2.5 0min,0,C5H3O3,Citrate 191/111,C6H7O7,C13_191.0_111.0
105,8001844.742,Citrate 191/111,False,"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 499)",B. [13C-glc] G2.5 5min,0,C5H3O3,Citrate 191/111,C6H7O7,C13_191.0_111.0
106,6803386.424,Citrate 191/111,False,"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 500)",C. [13C-glc] G2.5 15min,0,C5H3O3,Citrate 191/111,C6H7O7,C13_191.0_111.0
107,4806748.4,Citrate 191/111,False,"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 501)",D. [13C-glc] G2.5 30min,0,C5H3O3,Citrate 191/111,C6H7O7,C13_191.0_111.0
108,5077422.85,Citrate 191/111,False,"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 502)",E. [13C-glc] G2.5 60min,0,C5H3O3,Citrate 191/111,C6H7O7,C13_191.0_111.0
109,4050812.3,Citrate 191/111,False,"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 503)",F. [13C-glc] G2.5 120min,0,C5H3O3,Citrate 191/111,C6H7O7,C13_191.0_111.0
110,4987907.4,Citrate 191/111,False,"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 504)",G. [13C-glc] G2.5 240min,0,C5H3O3,Citrate 191/111,C6H7O7,C13_191.0_111.0
111,8820492.50071,Citrate 191/111,False,"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 505)","H. [6,6-DD-glc] G2.5 240min",0,C5H3O3,Citrate 191/111,C6H7O7,C13_191.0_111.0
112,11350798.004,Citrate 191/111,False,"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 506)",I. [13C-glc] G5 0min,0,C5H3O3,Citrate 191/111,C6H7O7,C13_191.0_111.0
113,9929767.288,Citrate 191/111,False,"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 507)",J. [13C-glc] G5 5min,0,C5H3O3,Citrate 191/111,C6H7O7,C13_191.0_111.0
114,5789696.7,Citrate 191/111,False,"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 508)",K. [13C-glc] G5 15min,0,C5H3O3,Citrate 191/111,C6H7O7,C13_191.0_111.0
